City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,college,64.8569,-147.8028,20.67,91,100,2.06,US,1689889155
199,brigantine,39.4101,-74.3646,27.24,80,20,3.09,US,1689889653
200,twon-brass,4.3151,6.2418,26.01,84,100,5.49,NG,1689889654
201,maunabo,18.0072,-65.8993,32.03,82,80,5.45,PR,1689889655
202,nar'yan-mar,67.6713,53.087,10.79,92,100,6.03,RU,1689888950
203,quartu sant'elena,39.2419,9.1839,30.6,56,0,6.69,IT,1689889507
204,pokhara,28.2333,83.9833,23.41,90,78,1.04,NP,1689889656
205,sungailiat,-1.85,106.1333,25.35,89,100,3.34,ID,1689889657
206,sovetskaya gavan',48.9723,140.2878,20.35,85,26,2.42,RU,1689889658
207,sisimiut,66.9395,-53.6735,9.01,97,100,1.46,GL,1689889181
208,tindouf,27.6711,-8.1474,38.25,8,0,3.6,DZ,1689889126
209,camana,-16.6228,-72.7111,17.63,79,49,2.14,PE,1689889659
210,hell-ville,-13.4,48.2667,26.23,68,85,0.37,MG,1689889660
211,tarawa,1.419,172.984,30.05,74,75,1.03,KI,1689889660
212,axim,4.8699,-2.2405,24.77,89,14,2.97,GH,1689889661
213,susuman,62.7833,148.1667,22.93,51,9,2.4,RU,1689888954
214,cidreira,-30.1811,-50.2056,17.28,88,100,7.7,BR,1689889662
215,kingston,17.997,-76.7936,32.36,67,20,7.72,JM,1689889402
216,fort mcmurray,56.7268,-111.381,26.73,47,0,2.57,CA,1689889588
217,uyuni,-20.4597,-66.825,6.97,22,2,1.67,BO,1689889146
218,saint-pierre,-21.3393,55.4781,21.98,73,0,3.09,RE,1689889664
219,pangody,65.85,74.4859,19.44,60,54,3.99,RU,1689889183
220,carnarvon,-24.8667,113.6333,12.43,47,1,8.08,AU,1689888945
221,saint augustine beach,29.8505,-81.2654,37.26,66,20,5.66,US,1689889666
222,fortuna,40.5982,-124.1573,21.07,75,100,4.63,US,1689889177
223,kiunga,-6.1219,141.2906,23.19,90,95,1.55,PG,1689889147
224,boyolangu,-8.1181,111.8935,20.77,94,47,0.6,ID,1689889667
225,nova sintra,14.8667,-24.7167,23.87,80,23,2.41,CV,1689888959
226,cockburn town,21.4612,-71.1419,28.09,80,99,9.06,TC,1689888993
227,pemangkat,1.1667,108.9667,25.11,88,100,3.02,ID,1689889669
228,san patricio,28.017,-97.5169,37.87,42,4,7.29,US,1689889175
229,gebeit,21.0667,36.3167,30.85,18,58,1.75,SD,1689889670
230,aasiaat,68.7098,-52.8699,4.3,96,98,5.91,GL,1689889170
231,matai,-8.3,31.5167,13.64,59,1,2.27,TZ,1689889671
232,tigpalay,7.4939,122.3431,25.04,86,99,0.39,PH,1689889671
233,freetown,8.484,-13.2299,26.84,89,75,4.12,SL,1689889092
234,lerwick,60.1545,-1.1494,10.0,84,100,6.97,GB,1689889203
235,albunol,36.792,-3.205,28.07,48,5,0.92,ES,1689889673
236,luderitz,-26.6481,15.1594,14.81,48,0,3.16,NA,1689889172
237,oltinko'l,40.8011,72.1634,28.58,27,84,2.14,UZ,1689889674
238,uturoa,-16.7333,-151.4333,24.44,64,12,8.24,PF,1689888952
239,zhanga buqtyrma,49.6295,83.5248,16.11,87,38,1.38,KZ,1689889675
240,porto barra do ivinheima,-22.9667,-53.6667,21.7,69,13,2.3,BR,1689889676
241,khandyga,62.6667,135.6,17.44,93,100,2.01,RU,1689889676
242,ta`u,-14.2336,-169.5144,26.61,78,93,9.44,AS,1689889677
243,oodweyne,9.4092,45.064,25.76,47,97,7.54,SO,1689889677
244,harper,4.375,-7.7169,24.85,85,68,4.92,LR,1689889063
245,port lincoln,-34.7333,135.8667,11.24,66,47,2.89,AU,1689889147
246,pangkalpinang,-2.1333,106.1333,24.58,91,99,2.16,ID,1689889679
247,mantua,45.1667,10.7833,27.58,90,27,2.88,IT,1689889679
248,vila velha,-20.3297,-40.2925,20.97,94,100,5.66,BR,1689889136
249,bartica,6.4,-58.6167,30.18,94,72,1.79,GY,1689889680
250,christchurch,-43.5333,172.6333,6.9,80,65,2.06,NZ,1689889628
251,huanggang,23.677,116.9996,26.94,89,100,0.82,CN,1689889592
252,alofi,-19.0595,-169.9187,23.94,69,100,6.17,NU,1689888985
